district,total_geographical_area,forest_area,barren_unculturable_area,land_non_agri_uses,cultivable_waste,permanent_pastures_grazing,current_fallow_area,other_fallow_area,net_area_sown,irrigation_canals,irrigation_tanks,irrigation_tube_bore_wells,irrigation_open_wells,irrigation_other_sources,total_net_irrigated,groundwater_jul_2024,groundwater_aug_2024,groundwater_sep_2024,groundwater_oct_2024,groundwater_nov_2024,groundwater_dec_2024,groundwater_jan_2025,groundwater_feb_2025,groundwater_mar_2025,groundwater_apr_2025,groundwater_may_2025,groundwater_jun_2025,groundwater_yearly_average,agri_wage_plough_men,agri_wage_sowers_pluckers_men,agri_wage_sowers_pluckers_women,agri_wage_transplanters_weeders_women,agri_wage_transplanters_weeders_men,agri_wage_reapers_harvesters_men,agri_wage_reapers_harvesters_women,agri_wage_other_operations_men,agri_wage_other_operations_women,agri_wage_tractor_driver_men,forest_area_share,net_area_sown_share,canal_irrigation_share,tank_irrigation_share,tube_bore_irrigation_share,open_well_irrigation_share,other_irrigation_share
Ariyalur,193398.0,739.0,8523.0,32444.0,4161.0,1263.0,9566.0,26909.0,97176.0,1063.0,1270.0,37917.0,1152.0,0.0,41401.0,5.29,4.52,5.27,4.93,4.73,3.55,2.41,2.98,3.7,3.7,4.1,3.9,4.1,,717.0,330.0,328.0,,707.0,323.0,677.0,336.0,800.0,0.003821135689097095,0.5024664164055471,0.025675708316224247,0.030675587546194535,0.915847443298471,0.027825414845052052,0.0
Chengalpattu,263892.0,20175.0,8826.0,80226.0,5313.0,13393.0,25415.0,35682.0,66090.0,211.0,32199.0,5107.0,28572.0,0.0,66090.0,3.29,2.94,3.22,3.26,2.74,1.54,1.8,2.31,2.94,3.3,3.7,4.1,2.9,726.0,772.0,379.0,380.0,,520.0,392.0,801.0,800.0,1104.0,0.07645173025328543,0.25044336319403393,0.003192616129520351,0.48719927371765775,0.07727341504009684,0.43231956423059464,0.0
Chennai,44111.0,300.0,7.0,35955.0,1194.0,554.0,766.0,4779.0,349.0,0.0,30.0,222.0,5.0,0.0,257.0,,,4.02,,,,,,,,,,,,,,,,,,,,,0.006801024687719617,0.007911858720047155,0.0,0.11673151750972763,0.8638132295719845,0.019455252918287938,0.0
Coimbatore,472322.0,111871.0,4797.0,77347.0,8422.0,77.0,47394.0,59778.0,159043.0,15155.0,0.0,36157.0,69244.0,52.0,120614.0,11.07,10.85,9.53,10.47,10.88,7.93,8.29,8.76,10.48,11.2,11.1,10.1,10.1,,764.0,397.0,398.0,800.0,883.0,400.0,754.0,392.0,899.0,0.23685324841951041,0.3367257929971503,0.12564876382509493,0.0,0.2997744872071236,0.5740958761006185,0.0004311273981461522
Cuddalore,367781.0,1415.0,14623.0,58982.0,6027.0,604.0,23862.0,37760.0,211703.0,43966.0,2922.0,88598.0,7734.0,0.0,143220.0,4.34,3.7,5.23,4.89,4.21,2.75,2.74,3.67,4.35,4.5,5.0,4.7,4.2,633.0,682.0,424.0,347.0,,722.0,386.0,691.0,374.0,811.0,0.003847398315845571,0.5756224492292967,0.30698226504678117,0.020402178466694596,0.6186147186147186,0.05400083787180562,0.0
Dharmapuri,449777.0,164177.0,15803.0,51890.0,2687.0,6210.0,26180.0,11163.0,168841.0,170.0,0.0,59.0,63119.0,0.0,63348.0,8.32,9.59,8.44,9.79,7.91,3.86,3.39,4.34,5.22,6.1,6.9,6.4,6.7,603.0,565.0,304.0,295.0,600.0,666.0,298.0,607.0,287.0,853.0,0.3650186648050034,0.37538824795398607,0.002683589063585275,0.0,0.0009313632632443013,0.9963850476731704,0.0
Dindigul,626664.0,138923.0,36210.0,67381.0,8216.0,6946.0,15271.0,130496.0,216306.0,4743.0,5848.0,16649.0,76020.0,1300.0,104560.0,6.34,6.49,7.07,5.36,5.45,5.23,4.65,4.86,5.69,6.0,6.7,6.8,5.9,575.0,353.0,632.0,708.0,358.0,729.0,378.0,738.0,374.0,867.0,0.22168658164502827,0.34517061774730956,0.04536151491966335,0.05592960979342004,0.1592291507268554,0.7270466717674062,0.012433052792654935
Erode,572264.0,227511.0,6270.0,53607.0,3072.0,105.0,22784.0,101252.0,156642.0,48814.0,0.0,14075.0,60740.0,0.0,123629.0,5.78,6.35,7.58,6.57,4.83,4.37,5.46,5.97,7.06,7.2,7.2,7.1,6.3,1000.0,384.0,673.0,364.0,672.0,678.0,386.0,676.0,381.0,885.0,0.3975630128751765,0.27372331651126053,0.3948426340098197,0.0,0.1138486924588891,0.4913086735312912,0.0
Kallakurichi,330735.0,56851.0,36047.0,49242.0,4655.0,2324.0,18652.0,8293.0,153447.0,300.0,14103.0,4821.0,90226.0,468.0,109919.0,6.29,7.05,8.67,7.35,6.15,3.01,2.84,4.0,4.85,4.7,5.6,5.1,5.5,677.0,649.0,314.0,326.0,,672.0,339.0,614.0,350.0,800.0,0.17189290519600284,0.46395754909519704,0.0027292824716382063,0.12830356899171208,0.04385956931922597,0.8208408009534294,0.0042576806557556015
Kancheepuram,170479.0,3685.0,2115.0,65584.0,5481.0,4700.0,20745.0,24029.0,41283.0,25.0,20714.0,7112.0,13342.0,0.0,41192.0,3.17,2.75,3.1,3.22,2.62,1.59,1.93,2.34,2.77,3.1,3.6,3.9,2.8,,413.0,770.0,360.0,,800.0,419.0,872.0,497.0,1205.0,0.021615565553528587,0.24215885827579936,0.0006069139638764808,0.502864633909497,0.1726548844435813,0.3238978442416003,0.0
Kanniyakumari,167200.0,54155.0,4001.0,29742.0,1859.0,104.0,1760.0,1967.0,72910.0,8079.0,11397.0,2449.0,2659.0,0.0,24583.0,7.14,5.08,4.33,4.48,2.73,3.76,4.34,5.06,5.07,5.4,5.3,4.5,4.8,,,,554.0,,1021.0,,900.0,,875.0,0.3238935406698565,0.43606459330143543,0.3286417442948379,0.46361306593987717,0.09962168978562422,0.10816417849733556,0.0
Karur,289557.0,6187.0,2786.0,37851.0,64997.0,10801.0,25093.0,59397.0,80982.0,7479.0,0.0,14805.0,25137.0,0.0,47421.0,4.34,4.35,5.02,5.48,3.98,3.76,3.43,3.62,4.11,4.4,4.6,4.8,4.3,,830.0,386.0,396.0,,816.0,387.0,819.0,368.0,801.0,0.021367122880814486,0.2796755043048519,0.15771493642057316,0.0,0.31220345416587586,0.530081609413551,0.0
Krishnagiri,514326.0,203964.0,23938.0,42295.0,4329.0,7855.0,36875.0,18024.0,168705.0,514.0,7405.0,29121.0,35913.0,0.0,72953.0,3.45,4.27,4.58,3.64,2.56,1.69,2.04,3.1,3.82,4.9,5.4,5.0,3.7,628.0,600.0,309.0,309.0,,595.0,297.0,610.0,,838.0,0.39656560236114835,0.32801180574188354,0.007045632119309693,0.1015037078667087,0.3991748111798007,0.4922758488341809,0.0
Madurai,374173.0,48473.0,13031.0,75605.0,14086.0,233.0,15005.0,83700.0,121714.0,17368.0,17006.0,3271.0,40425.0,0.0,78070.0,4.54,4.6,5.0,4.83,3.43,3.57,3.36,3.5,4.03,4.2,4.6,4.9,4.2,,425.0,542.0,356.0,637.0,884.0,353.0,579.0,448.0,819.0,0.12954702771178037,0.32528803521365784,0.22246701677981298,0.21783015242730883,0.04189829640066607,0.5178045343922121,0.0
Mayiladuthurai,117358.0,1102.0,751.0,23661.0,553.0,418.0,1590.0,13323.0,73184.0,70074.0,0.0,0.0,0.0,0.0,70074.0,2.58,2.99,2.57,3.05,2.42,1.62,1.83,1.98,2.57,2.8,3.3,3.5,2.6,726.0,365.0,733.0,638.0,339.0,763.0,358.0,701.0,352.0,805.0,0.009390071405443174,0.6235961758039503,1.0,0.0,0.0,0.0,0.0
Nagapattinam,154225.0,3531.0,32669.0,24096.0,1446.0,413.0,7306.0,9330.0,72001.0,48701.0,0.0,0.0,0.0,1321.0,50022.0,2.98,2.95,3.01,3.14,2.5,1.48,1.4,1.76,2.01,2.2,2.6,2.7,2.4,609.0,317.0,708.0,630.0,345.0,731.0,335.0,630.0,317.0,1288.0,0.022895120765115903,0.46685686497001133,0.9735916196873375,0.0,0.0,0.0,0.02640838031266243
Namakkal,336719.0,43909.0,24539.0,39108.0,4777.0,6664.0,36659.0,23461.0,154239.0,7775.0,0.0,12377.0,55968.0,1985.0,78106.0,7.94,8.9,7.01,7.18,5.87,5.41,5.12,5.81,6.52,7.1,7.4,6.7,6.7,,426.0,766.0,365.0,589.0,793.0,396.0,799.0,388.0,820.0,0.13040250178932583,0.45806443948811915,0.09954420915166569,0.0,0.15846413847847796,0.7165646685273859,0.025414180728753233
Perambalur,175739.0,16281.0,2786.0,28570.0,3706.0,152.0,13695.0,8840.0,100062.0,0.0,0.0,2487.0,22827.0,0.0,25314.0,9.2,9.81,8.1,8.81,6.11,5.1,2.73,3.63,4.5,5.2,5.8,5.7,6.2,,680.0,400.0,402.0,650.0,657.0,401.0,677.0,400.0,880.0,0.09264306727590348,0.5693784532744581,0.0,0.0,0.09824602986489689,0.9017539701351031,0.0
Pudukkottai,466329.0,23535.0,9863.0,136699.0,9280.0,3471.0,14349.0,118137.0,136148.0,690.0,49549.0,51572.0,14227.0,0.0,116038.0,5.51,6.66,5.53,6.24,4.86,4.55,4.04,4.42,5.91,6.4,6.9,7.1,5.7,,292.0,683.0,600.0,313.0,718.0,290.0,658.0,302.0,973.0,0.05046866053794639,0.2919569660046877,0.0059463279270583775,0.4270066702287182,0.4444406142815285,0.12260638756269499,0.0
Ramanathapuram,408957.0,4488.0,4342.0,86649.0,29388.0,186.0,7390.0,87410.0,186584.0,0.0,52820.0,1854.0,10247.0,0.0,64921.0,3.3,3.75,4.29,4.14,3.71,2.72,2.16,2.31,2.48,2.6,2.8,3.0,3.1,782.0,498.0,655.0,686.0,444.0,953.0,429.0,774.0,446.0,907.0,0.010974258907415694,0.45624356594947635,0.0,0.8136042266754979,0.028557785616364503,0.1578379877081376,0.0
Ranipet,185553.0,9970.0,4729.0,39285.0,2955.0,1715.0,13474.0,57232.0,54339.0,0.0,1596.0,9337.0,32426.0,0.0,43359.0,4.81,4.39,4.09,4.3,3.16,2.15,2.16,2.74,3.38,4.0,4.7,4.7,3.7,1000.0,456.0,417.0,400.0,403.0,452.0,400.0,621.0,,1152.0,0.053731278933781726,0.2928489434285622,0.0,0.03680896699647132,0.21534168223436886,0.7478493507691598,0.0
Salem,520530.0,125682.0,38198.0,67904.0,5617.0,4200.0,41570.0,26171.0,208492.0,866.0,0.0,13496.0,105380.0,0.0,119742.0,7.05,5.71,7.71,5.79,4.6,3.42,3.69,4.21,5.27,5.7,6.4,5.2,5.4,533.0,800.0,373.0,353.0,,781.0,374.0,,,800.0,0.2414500605152441,0.40053791328069466,0.0072322159309181405,0.0,0.11270899099731088,0.8800587930717709,0.0
Sivagangai,418900.0,16533.0,4700.0,122731.0,17668.0,1368.0,9303.0,130834.0,108812.0,5.0,54561.0,7786.0,16241.0,0.0,78593.0,5.25,4.66,4.65,4.6,4.39,2.36,1.96,2.52,3.15,3.6,3.9,4.0,3.8,,379.0,,378.0,,859.0,360.0,641.0,322.0,800.0,0.039467653377894485,0.2597565051324899,6.361889735727101e-05,0.6942221317420126,0.09906734696474241,0.20664690239588768,0.0
Tenkasi,288244.0,44000.0,6240.0,40742.0,9097.0,1032.0,14760.0,52143.0,118363.0,5157.0,25081.0,600.0,41319.0,0.0,72157.0,5.69,5.47,6.2,6.48,5.76,5.46,3.65,3.9,4.21,4.5,4.8,5.2,5.1,,814.0,384.0,455.0,,1182.0,396.0,872.0,547.0,999.0,0.1526484506182262,0.41063474001193434,0.07146915753149383,0.3475892844769045,0.008315201574344832,0.5726263564172568,0.0
Thanjavur,339657.0,3390.0,2148.0,81752.0,12026.0,1192.0,10369.0,28338.0,194736.0,131263.0,0.0,54803.0,0.0,0.0,186066.0,2.13,2.61,2.93,2.86,2.06,1.4,1.77,1.84,3.26,3.9,4.4,4.4,2.8,,695.0,344.0,713.0,310.0,652.0,312.0,696.0,311.0,942.0,0.009980656956871196,0.5733313313136488,0.7054647275697871,0.0,0.29453527243021294,0.0,0.0
The Nilgiris,254485.0,142512.0,3295.0,9998.0,5638.0,4931.0,3963.0,7139.0,72321.0,0.0,0.0,0.0,5083.0,113.0,5196.0,2.76,1.54,1.64,1.36,1.58,1.43,1.49,1.71,2.02,2.0,1.9,1.6,1.8,,431.0,767.0,439.0,760.0,744.0,421.0,784.0,434.0,1202.0,0.5600015718018744,0.28418570839145724,0.0,0.0,0.0,0.9782525019245574,0.02174749807544265
Theni,324230.0,134813.0,12225.0,24623.0,2616.0,315.0,14865.0,30828.0,103152.0,10720.0,3438.0,17360.0,32185.0,0.0,63702.0,6.13,6.51,6.42,8.15,4.91,4.44,4.68,4.9,5.79,6.0,5.7,5.5,5.8,993.0,600.0,366.0,355.0,633.0,895.0,431.0,677.0,367.0,830.0,0.4157943435215742,0.31814452703327883,0.16828357037455652,0.05397004803616841,0.2725189162035729,0.5052431634799536,0.0
Thoothukudi,470724.0,11012.0,19642.0,76583.0,44957.0,5061.0,10282.0,74714.0,210023.0,8646.0,8568.0,1570.0,17134.0,0.0,36106.0,5.69,5.05,4.85,5.85,4.83,4.3,3.05,3.28,3.53,3.6,3.8,4.3,4.4,855.0,485.0,854.0,432.0,517.0,797.0,466.0,841.0,418.0,800.0,0.023393750902864524,0.44617015491030837,0.23946158533207776,0.23730127956572314,0.04348307760483022,0.47454716667589875,0.0
Tiruchirapalli,440383.0,36773.0,12534.0,85415.0,10192.0,667.0,22356.0,119380.0,150958.0,27445.0,3079.0,14066.0,45694.0,0.0,90283.0,6.75,6.75,7.3,6.6,5.45,4.6,3.99,4.33,4.71,5.1,5.4,5.5,5.5,,795.0,337.0,700.0,346.0,1108.0,333.0,781.0,351.0,886.0,0.08350231503032587,0.34278798227906165,0.303988569276608,0.0341038733759401,0.1557989876277926,0.5061196460020159,0.0
Tirunelveli,387606.0,83758.0,23784.0,62442.0,25148.0,4112.0,10619.0,105116.0,65813.0,10457.0,19086.0,1680.0,23314.0,0.0,54536.0,4.85,5.21,5.73,5.72,5.54,5.0,4.25,4.74,5.02,5.1,5.5,5.8,5.2,,404.0,800.0,800.0,401.0,1215.0,406.0,824.0,425.0,1001.0,0.21609056619350578,0.16979355324736975,0.19174490244975795,0.34997066158134077,0.03080533959219598,0.42749743288836733,0.0
Tirupathur,183201.0,62363.0,5525.0,16012.0,1379.0,1563.0,25505.0,4235.0,66184.0,0.0,0.0,3939.0,26402.0,0.0,30341.0,6.19,5.59,6.62,3.72,4.75,3.24,3.51,4.17,5.03,5.8,5.7,5.5,5.0,711.0,319.0,,300.0,,686.0,299.0,657.0,316.0,800.0,0.34040753052658007,0.3612644035785831,0.0,0.0,0.1298243301143667,0.8701756698856333,0.0
Tiruppur,519559.0,48168.0,2548.0,69547.0,3881.0,120.0,70878.0,132236.0,190360.0,30398.0,1146.0,17220.0,90092.0,0.0,138856.0,7.49,9.97,7.58,8.12,7.49,5.87,5.66,6.28,7.79,8.2,8.3,8.4,7.6,,441.0,773.0,755.0,431.0,812.0,433.0,799.0,456.0,867.0,0.09270939392831228,0.3663876479860805,0.21891743964970906,0.008253154346949357,0.12401336636515527,0.6488160396381863,0.0
Tiruvallur,324069.0,19736.0,13569.0,96940.0,6274.0,7741.0,34558.0,49760.0,89430.0,0.0,10285.0,71615.0,7530.0,0.0,89430.0,4.24,3.76,3.67,3.78,2.98,1.31,1.15,1.72,2.28,3.1,3.6,3.7,2.9,900.0,548.0,372.0,700.0,339.0,900.0,423.0,796.0,351.0,926.0,0.06090061067241853,0.2759597493126464,0.0,0.11500615006150061,0.8007939170300794,0.08419993290842,0.0
Tiruvannamalai,631205.0,152810.0,20585.0,96501.0,8368.0,2931.0,96037.0,23883.0,227961.0,0.0,11520.0,3265.0,169896.0,0.0,184680.0,6.23,4.04,6.3,4.26,3.11,1.29,1.67,2.45,3.0,3.7,4.3,3.8,3.7,859.0,485.0,334.0,312.0,,817.0,334.0,634.0,,838.0,0.2420925056043599,0.361152082128627,0.0,0.06237816764132553,0.01767922893653888,0.9199480181936323,0.0
Tiruvarur,209709.0,2452.0,113.0,37321.0,1179.0,786.0,4542.0,5384.0,155836.0,148664.0,0.0,0.0,0.0,0.0,148664.0,2.9,2.79,4.19,3.23,2.71,1.87,1.87,2.22,2.74,3.1,3.3,3.3,2.9,,605.0,300.0,300.0,,,311.0,606.0,300.0,705.0,0.011692392791916417,0.7431059229694481,1.0,0.0,0.0,0.0,0.0
Vellore,223264.0,89953.0,10190.0,25453.0,1313.0,644.0,28066.0,13438.0,53539.0,0.0,0.0,2252.0,21972.0,0.0,24223.0,6.62,6.55,6.03,6.32,5.43,4.8,4.39,4.95,5.51,6.3,6.3,6.0,5.8,608.0,400.0,,400.0,,,400.0,739.0,,1097.0,0.40289970617744014,0.23980131145191344,0.0,0.0,0.092969491805309,0.9070717912727573,0.0
Villupuram,391468.0,14846.0,20604.0,86872.0,4883.0,1846.0,66863.0,4895.0,185537.0,609.0,19891.0,36869.0,78944.0,0.0,136313.0,4.62,4.59,2.79,3.32,3.07,0.87,1.21,1.82,2.74,2.9,3.7,3.3,2.9,628.0,293.0,681.0,310.0,,683.0,308.0,687.0,,800.0,0.03792391715287073,0.47395189389681913,0.004467658990705215,0.1459215188573357,0.27047310234533756,0.5791377198066215,0.0
Virudhunagar,424323.0,26466.0,4525.0,70539.0,9227.0,804.0,7709.0,169943.0,133263.0,0.0,24632.0,413.0,29976.0,0.0,55022.0,4.31,4.74,4.88,5.21,4.39,4.52,3.43,3.46,4.04,4.3,4.5,4.9,4.4,,699.0,382.0,371.0,,667.0,371.0,727.0,333.0,800.0,0.06237229657595746,0.314060279551191,0.0,0.4476754752644397,0.007506088473701429,0.5448002617134964,0.0
