crop_name,category,aliases,water_need_mm,preferred_soils,suitable_soils,preferred_seasons,planting_months,district_hints,notes,source_type,disclaimer,supported_queries,confidence,soil_scores_json,season_scores_json
Tomato,Vegetable,thakkali,550,alluvial soil|red soil,alluvial soil|red soil|black soil|clay soil,Kharif|Rabi|Summer,July-November|January-February,Widely possible under irrigation across Tamil Nadu,Needs good drainage and regular plant protection.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.75, ""clay soil"": 0.65}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Summer"": 0.75}"
Brinjal,Vegetable,eggplant|aubergine|kathiri,500,alluvial soil|red soil,alluvial soil|red soil|black soil|clay soil,Kharif|Rabi|Summer,June-February,Suitable in most districts with irrigation,Performs better in fertile well-drained soils.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.8, ""clay soil"": 0.65}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Summer"": 0.8}"
Okra,Vegetable,bhindi|vendakkai|ladies finger,450,red soil|alluvial soil,red soil|alluvial soil|black soil|clay soil,Kharif|Summer|Rabi,June-September|January-March,Good in warmer interior and delta districts,Tolerates heat better than many vegetables.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.95, ""black soil"": 0.75, ""clay soil"": 0.6}","{""Kharif"": 1.0, ""Summer"": 0.9, ""Rabi"": 0.8}"
Cabbage,Vegetable,,500,alluvial soil|clay soil,alluvial soil|clay soil|red soil,Rabi|Winter,September-January,Best in cooler belts and winter months,High temperatures reduce head quality.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""clay soil"": 0.85, ""red soil"": 0.6, ""black soil"": 0.55}","{""Rabi"": 1.0, ""Winter"": 0.95, ""Kharif"": 0.55, ""Summer"": 0.35}"
Cauliflower,Vegetable,,500,alluvial soil|clay soil,alluvial soil|clay soil|red soil,Rabi|Winter,September-January,Better in cooler districts/seasons,Assumed suitable mainly in cooler season; heat stress can reduce curd quality.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""clay soil"": 0.85, ""red soil"": 0.6, ""black soil"": 0.55}","{""Rabi"": 1.0, ""Winter"": 0.95, ""Kharif"": 0.5, ""Summer"": 0.3}"
Carrot,Vegetable,,450,alluvial soil|red soil,alluvial soil|red soil,Rabi|Winter,September-January,Best in cooler uplands and winter cultivation,Loose friable soil improves root development.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.45, ""clay soil"": 0.35}","{""Rabi"": 1.0, ""Winter"": 0.95, ""Kharif"": 0.5, ""Summer"": 0.25}"
Beetroot,Vegetable,beet root,420,alluvial soil|red soil,alluvial soil|red soil|clay soil,Rabi|Winter,September-January,Cooler months preferred across many districts,Waterlogging should be avoided.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""clay soil"": 0.55, ""black soil"": 0.5}","{""Rabi"": 1.0, ""Winter"": 0.95, ""Kharif"": 0.55, ""Summer"": 0.35}"
Radish,Vegetable,mullangi,350,alluvial soil|red soil,alluvial soil|red soil|clay soil,Rabi|Winter|Kharif,September-February,"Short-duration crop, possible in many irrigated districts",Loose soil and timely irrigation improve root quality.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""clay soil"": 0.5, ""black soil"": 0.45}","{""Rabi"": 1.0, ""Winter"": 0.95, ""Kharif"": 0.75, ""Summer"": 0.4}"
Beans,Vegetable,french bean|green bean,450,alluvial soil|red soil,alluvial soil|red soil|clay soil,Rabi|Kharif,June-January,Better in mild weather; hills perform best,Heavy heat and waterlogging reduce performance.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""clay soil"": 0.6, ""black soil"": 0.5}","{""Rabi"": 1.0, ""Kharif"": 0.85, ""Winter"": 0.9, ""Summer"": 0.45}"
Peas,Vegetable,green peas,400,alluvial soil,alluvial soil|red soil,Rabi|Winter,October-January,Mostly cooler season / hill-like pockets,Warm humid weather is not ideal.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.7, ""clay soil"": 0.45, ""black soil"": 0.4}","{""Rabi"": 1.0, ""Winter"": 0.95, ""Kharif"": 0.3, ""Summer"": 0.2}"
Capsicum,Vegetable,bell pepper|sweet pepper|kudamilagai,500,alluvial soil|red soil,alluvial soil|red soil|clay soil,Rabi|Kharif,June-January,Protected cultivation or milder climates are better,High humidity can increase disease pressure.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""clay soil"": 0.55, ""black soil"": 0.5}","{""Rabi"": 1.0, ""Kharif"": 0.8, ""Winter"": 0.9, ""Summer"": 0.35}"
Chow Chow,Vegetable,chayote,700,alluvial soil|red soil,alluvial soil|red soil,Kharif|Rabi,June-September,Best in hills and cooler belts,Generally better in elevated mild-climate areas.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.8, ""clay soil"": 0.4, ""black soil"": 0.45}","{""Kharif"": 1.0, ""Rabi"": 0.8, ""Summer"": 0.3}"
Bitter Gourd,Vegetable,bitter melon|pavakkai,450,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Summer|Rabi,June-September|January-March,Possible in many warm districts,Climbers need staking and disease management.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.7, ""clay soil"": 0.45}","{""Kharif"": 1.0, ""Summer"": 0.9, ""Rabi"": 0.8}"
Bottle Gourd,Vegetable,sorakkai,450,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Summer|Rabi,June-September|January-March,Warm season vine crop across many districts,Needs regular irrigation during fruiting.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.7, ""clay soil"": 0.5}","{""Kharif"": 1.0, ""Summer"": 0.9, ""Rabi"": 0.8}"
Ridge Gourd,Vegetable,peerkankai,450,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Summer|Rabi,June-September|January-March,Widely possible under irrigation,Needs trellis support for good quality fruits.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.7, ""clay soil"": 0.5}","{""Kharif"": 1.0, ""Summer"": 0.9, ""Rabi"": 0.8}"
Snake Gourd,Vegetable,pudalangai,500,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Summer|Rabi,June-September|January-March,Suitable in many warm districts,Good drainage improves vine health.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.7, ""clay soil"": 0.45}","{""Kharif"": 1.0, ""Summer"": 0.9, ""Rabi"": 0.8}"
Pumpkin,Vegetable,,500,alluvial soil|red soil,alluvial soil|red soil|black soil|clay soil,Kharif|Summer|Rabi,June-September|January-March,Broadly suitable with space and water,Long-duration vine crop; avoid water stagnation.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.75, ""clay soil"": 0.55}","{""Kharif"": 1.0, ""Summer"": 0.85, ""Rabi"": 0.8}"
Cucumber,Vegetable,vellarikai,400,alluvial soil|red soil,alluvial soil|red soil|black soil,Summer|Rabi|Kharif,January-March|June-September,Good in warm irrigated districts,Quality improves with steady irrigation.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.7, ""clay soil"": 0.45}","{""Summer"": 1.0, ""Rabi"": 0.85, ""Kharif"": 0.8}"
Watermelon,Vegetable,,350,alluvial soil|red soil,alluvial soil|red soil|black soil,Summer|Rabi,December-March,Prefers dry warm fruiting conditions,Sandy well-drained fields are ideal.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.35}","{""Summer"": 1.0, ""Rabi"": 0.85, ""Kharif"": 0.45}"
Muskmelon,Vegetable,melon,350,alluvial soil|red soil,alluvial soil|red soil,Summer|Rabi,December-March,Better in warm dry tracts under irrigation,Excess rain during fruiting reduces quality.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.85, ""black soil"": 0.45, ""clay soil"": 0.3}","{""Summer"": 1.0, ""Rabi"": 0.8, ""Kharif"": 0.35}"
Drumstick,Vegetable,moringa|murungai,400,red soil|alluvial soil,red soil|alluvial soil|black soil,Kharif|Rabi|Summer|Whole Year,June-December|with irrigation almost year-round,Good in dry and semi-arid districts with drainage,Perennial crop; waterlogging is harmful.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.7, ""clay soil"": 0.35}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Summer"": 0.85, ""Whole Year"": 0.8}"
Papaya,Fruit,pappali,900,alluvial soil|red soil,alluvial soil|red soil|black soil,Kharif|Rabi|Whole Year,June-October|January-February,Possible in many irrigated districts,Sensitive to waterlogging and viral pressure.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""alluvial soil"": 1.0, ""red soil"": 0.9, ""black soil"": 0.65, ""clay soil"": 0.3}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Whole Year"": 0.85, ""Summer"": 0.55}"
Guava,Fruit,koyya,800,red soil|alluvial soil,red soil|alluvial soil|black soil,Kharif|Rabi|Whole Year,June-December,Adaptable in many districts with irrigation,Pruning and fruit fly management are important.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.7, ""clay soil"": 0.35}","{""Kharif"": 0.85, ""Rabi"": 1.0, ""Whole Year"": 0.8, ""Summer"": 0.55}"
Sapota,Fruit,chikoo|sapodilla|sappota,900,red soil|alluvial soil,red soil|alluvial soil|black soil,Kharif|Rabi|Whole Year,June-December,Warm irrigated belts are suitable,Perennial fruit crop requiring drainage.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""alluvial soil"": 0.9, ""black soil"": 0.7, ""clay soil"": 0.35}","{""Kharif"": 0.85, ""Rabi"": 1.0, ""Whole Year"": 0.8, ""Summer"": 0.6}"
Amla,Fruit,gooseberry|nellikai,600,red soil|black soil,red soil|black soil|alluvial soil,Kharif|Rabi|Whole Year,June-December,Good for drier districts too,Hardy fruit tree suited to semi-arid tracts.,assumption_based_fallback,"This record is a manually created agronomic assumption for fallback suitability guidance only. It is not part of the original historical dataset or trained ML model, and it may be wrong.",suitability|whatif|planting_time|generic_fertilizer,medium,"{""red soil"": 1.0, ""black soil"": 0.8, ""alluvial soil"": 0.75, ""clay soil"": 0.4}","{""Kharif"": 0.9, ""Rabi"": 1.0, ""Whole Year"": 0.85, ""Summer"": 0.7}"
